landscape_id,split,stratum,horizon,epsilon,region,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,C_endpoint_l1,endpoint_l1,endpoint_prediction,endpoint_residual,endpoint_residual_over_epsilon_squared,endpoint_relative_residual,C_max_path_l1,max_path_l1,max_path_prediction,max_path_residual,max_path_residual_over_epsilon_squared,max_path_relative_residual
S02,source,regular-sensitivity,20,0.03,stress,balanced,dominant_b,forward_cycle,"[0.14024438316608837,0.6285317192117627,0.2312238976221491]",0.14024438316608837,1.9643687841079458,2.5537390387812984,0.07252845652447548,0.07661217116343895,-0.004083714638963468,-4.537460709959409,-0.05330373199124669,2.5537390387812984,0.07252845652447548,0.07661217116343895,-0.004083714638963468,-4.537460709959409,-0.05330373199124669
S02,source,regular-sensitivity,20,0.1,stress,balanced,dominant_b,forward_cycle,"[0.14024438316608837,0.6285317192117627,0.2312238976221491]",0.14024438316608837,1.9643687841079458,2.5537390387812984,0.2120089453803492,0.25537390387812986,-0.04336495849778066,-4.336495849778065,-0.16980967060156385,2.5537390387812984,0.2120089453803492,0.25537390387812986,-0.04336495849778066,-4.336495849778065,-0.16980967060156385
S02,source,regular-sensitivity,50,0.0001,confirmatory,balanced,dominant_b,forward_cycle,"[0.021271424997296076,0.9044840065682137,0.07424456843449029]",0.021271424997296076,3.8503906563725345,8.127397814572994,0.0008125528213264663,0.0008127397814572994,-1.8696013083312982e-07,-18.69601308331298,-0.00023003688892636362,8.127397814572994,0.0008125528213264663,0.0008127397814572994,-1.8696013083312982e-07,-18.69601308331298,-0.00023003688892636362
S02,source,regular-sensitivity,50,0.0003,confirmatory,balanced,dominant_b,forward_cycle,"[0.021271424997296076,0.9044840065682137,0.07424456843449029]",0.021271424997296076,3.8503906563725345,8.127397814572994,0.0024365361790443067,0.002438219344371898,-1.6831653275911802e-06,-18.701836973235338,-0.0006903256392729405,8.127397814572994,0.0024365361790443067,0.002438219344371898,-1.6831653275911802e-06,-18.701836973235338,-0.0006903256392729405
S02,source,regular-sensitivity,50,0.001,confirmatory,balanced,dominant_b,forward_cycle,"[0.021271424997296076,0.9044840065682137,0.07424456843449029]",0.021271424997296076,3.8503906563725345,8.127397814572994,0.008108675693934912,0.008127397814572994,-1.8722120638081652e-05,-18.722120638081652,-0.0023035811787767515,8.127397814572994,0.008108675693934912,0.008127397814572994,-1.8722120638081652e-05,-18.722120638081652,-0.0023035811787767515
S02,source,regular-sensitivity,50,0.003,extended-local,balanced,dominant_b,forward_cycle,"[0.021271424997296076,0.9044840065682137,0.07424456843449029]",0.021271424997296076,3.8503906563725345,8.127397814572994,0.02421318051860419,0.02438219344371898,-0.00016901292511478996,-18.779213901643327,-0.00693181790657677,8.127397814572994,0.02421318051860419,0.02438219344371898,-0.00016901292511478996,-18.779213901643327,-0.00693181790657677
S02,source,regular-sensitivity,50,0.01,extended-local,balanced,dominant_b,forward_cycle,"[0.021271424997296076,0.9044840065682137,0.07424456843449029]",0.021271424997296076,3.8503906563725345,8.127397814572994,0.0793770905644877,0.08127397814572994,-0.0018968875812422348,-18.968875812422347,-0.023339420864092346,8.127397814572994,0.0793770905644877,0.08127397814572994,-0.0018968875812422348,-18.968875812422347,-0.023339420864092346
S02,source,regular-sensitivity,50,0.03,stress,balanced,dominant_b,forward_cycle,"[0.021271424997296076,0.9044840065682137,0.07424456843449029]",0.021271424997296076,3.8503906563725345,8.127397814572994,0.22634313910474715,0.2438219344371898,-0.017478795332442648,-19.420883702714054,-0.07168672241399719,8.127397814572994,0.22634313910474715,0.2438219344371898,-0.017478795332442648,-19.420883702714054,-0.07168672241399719
S02,source,regular-sensitivity,50,0.1,stress,balanced,dominant_b,forward_cycle,"[0.021271424997296076,0.9044840065682137,0.07424456843449029]",0.021271424997296076,3.8503906563725345,8.127397814572994,0.613403457210946,0.8127397814572994,-0.1993363242463534,-19.933632424635334,-0.24526463302796547,8.127397814572994,0.613403457210946,0.8127397814572994,-0.1993363242463534,-19.933632424635334,-0.24526463302796547
S03,source,regular-sensitivity,1,0.0001,confirmatory,skew_a,weak,uniform_mix,"[0.7013975491964067,0.19939980409302516,0.09920264671056807]",0.09920264671056807,2.310590584497148,0.736128431726147,7.361284317261574e-05,7.36128431726147e-05,1.043544591017298e-18,1.043544591017298e-10,1.417612125876311e-14,0.736128431726147,7.361284317261574e-05,7.36128431726147e-05,1.043544591017298e-18,1.043544591017298e-10,1.417612125876311e-14
S03,source,regular-sensitivity,1,0.0003,confirmatory,skew_a,weak,uniform_mix,"[0.7013975491964067,0.19939980409302516,0.09920264671056807]",0.09920264671056807,2.310590584497148,0.736128431726147,0.00022083852951790273,0.00022083852951784407,5.865533753146579e-17,6.517259725718422e-10,2.6560282600834086e-13,0.736128431726147,0.00022083852951790273,0.00022083852951784407,5.865533753146579e-17,6.517259725718422e-10,2.6560282600834086e-13
S03,source,regular-sensitivity,1,0.001,confirmatory,skew_a,weak,uniform_mix,"[0.7013975491964067,0.19939980409302516,0.09920264671056807]",0.09920264671056807,2.310590584497148,0.736128431726147,0.0007361284317261713,0.000736128431726147,2.42861286636753e-17,2.42861286636753e-11,3.299170038403051e-14,0.736128431726147,0.0007361284317261713,0.000736128431726147,2.42861286636753e-17,2.42861286636753e-11,3.299170038403051e-14
S03,source,regular-sensitivity,1,0.003,extended-local,skew_a,weak,uniform_mix,"[0.7013975491964067,0.19939980409302516,0.09920264671056807]",0.09920264671056807,2.310590584497148,0.736128431726147,0.0022083852951784444,0.002208385295178441,3.469446951953614e-18,3.854941057726238e-13,1.5710333516205004e-15,0.736128431726147,0.0022083852951784444,0.002208385295178441,3.469446951953614e-18,3.854941057726238e-13,1.5710333516205004e-15
S03,source,regular-sensitivity,1,0.01,extended-local,skew_a,weak,uniform_mix,"[0.7013975491964067,0.19939980409302516,0.09920264671056807]",0.09920264671056807,2.310590584497148,0.736128431726147,0.007361284317261449,0.00736128431726147,-2.0816681711721685e-17,-2.0816681711721685e-13,-2.827860032916901e-15,0.736128431726147,0.007361284317261449,0.00736128431726147,-2.0816681711721685e-17,-2.0816681711721685e-13,-2.827860032916901e-15
S03,source,regular-sensitivity,1,0.03,stress,skew_a,weak,uniform_mix,"[0.7013975491964067,0.19939980409302516,0.09920264671056807]",0.09920264671056807,2.310590584497148,0.736128431726147,0.02208385295178439,0.02208385295178441,-2.0816681711721685e-17,-2.312964634635743e-14,-9.426200109723002e-16,0.736128431726147,0.02208385295178439,0.02208385295178441,-2.0816681711721685e-17,-2.312964634635743e-14,-9.426200109723002e-16
