landscape_id,split,stratum,horizon,region,epsilon_count,kl_residual_sign,kl_quadratic_error_minimum,kl_quadratic_error_median,kl_quadratic_error_maximum,stable_cubic_count,kl_cubic_scale_minimum,kl_cubic_scale_median,kl_cubic_scale_maximum
S10,source,regular-sensitivity,20,extended-local,2,negative,-2654.4245363645905,-2383.227000547092,-2112.029464729593,2,-704009.8215765312,-484726.13760649506,-265442.453636459
S10,source,regular-sensitivity,20,stress,2,negative,-3190.13783677965,-3081.0021621260084,-2971.8664874723663,2,-99062.21624907889,-65481.7973084377,-31901.3783677965
S10,source,regular-sensitivity,50,confirmatory,3,negative,-17937.736243660696,-12778.799371231737,-7479.047651479998,3,-74790476.51479997,-42595997.90410579,-17937736.243660692
S10,source,regular-sensitivity,50,extended-local,2,negative,-23142.84413655939,-22107.63736155864,-21072.43058655789,2,-7024143.5288526295,-4669213.971254284,-2314284.4136559386
S10,source,regular-sensitivity,50,stress,2,negative,-25046.4165974111,-24680.79251550248,-24315.168433593863,2,-810505.6144531289,-530484.8902136199,-250464.16597411098
S11,source,regular-sensitivity,1,confirmatory,3,numerical-zero,4.962055890302863e-10,5.046032618709057e-10,6.75636578091313e-10,2,5.046032618709056e-07,1.07931094598593e-06,1.6540186301009545e-06
S11,source,regular-sensitivity,1,extended-local,2,numerical-zero,1.6667447004298992e-09,3.6223121102365995e-09,5.577879520043299e-09,2,5.555815668099664e-07,5.566847594071482e-07,5.577879520043298e-07
S11,source,regular-sensitivity,1,stress,2,positive,1.6740313269244176e-08,3.630844547197573e-08,5.5876577674707276e-08,2,5.580104423081392e-07,5.58388109527606e-07,5.587657767470728e-07
S11,source,regular-sensitivity,5,confirmatory,3,negative,-3.144595535454636e-05,-9.43698376584711e-06,-3.1417766448116305e-06,3,-0.031456612552823705,-0.03144595535454636,-0.0314177664481163
S11,source,regular-sensitivity,5,extended-local,2,negative,-0.0003130078832007969,-0.0002036244336855836,-9.424098417037031e-05,2,-0.031413661390123436,-0.03135722485510156,-0.03130078832007969
S11,source,regular-sensitivity,5,stress,2,negative,-0.0029908830743974567,-0.0019601728966116986,-0.0009294627188259408,2,-0.03098209062753136,-0.030445460685752962,-0.029908830743974567
S11,source,regular-sensitivity,20,confirmatory,3,negative,-0.022782908526239824,-0.006852106812724469,-0.002285693271604737,3,-22.856932716047368,-22.840356042414896,-22.78290852623982
S11,source,regular-sensitivity,20,extended-local,2,negative,-0.22075409682142574,-0.14430820119251342,-0.06786230556360108,2,-22.62076852120036,-22.348089101671466,-22.07540968214257
S11,source,regular-sensitivity,20,stress,2,negative,-1.7094549376487658,-1.1649622766796486,-0.6204696157105313,2,-20.68232052368438,-18.888434950086015,-17.094549376487656
S11,source,regular-sensitivity,50,confirmatory,3,negative,-2.233820457719861,-0.6829731964016903,-0.22891645476762976,3,-2289.1645476762974,-2276.5773213389675,-2233.8204577198608
S11,source,regular-sensitivity,50,extended-local,2,negative,-18.166163321856818,-12.265664877000138,-6.365166432143459,2,-2121.7221440478197,-1969.1692381167506,-1816.6163321856816
S11,source,regular-sensitivity,50,stress,2,negative,-73.17652511874137,-56.43397880737721,-39.69143249601305,2,-1323.0477498671019,-1027.4065005272578,-731.7652511874136
S12,source,regular-sensitivity,1,confirmatory,3,numerical-zero,-9.879902556839613e-07,-2.9525364927307855e-07,-9.741969296866594e-08,3,-0.0009879902556839612,-0.0009841788309102619,-0.0009741969296866592
S12,source,regular-sensitivity,1,extended-local,2,negative,-9.85618442785835e-06,-6.409332183342815e-06,-2.9624799388272804e-06,2,-0.0009874933129424268,-0.0009865558778641309,-0.0009856184427858349
S12,source,regular-sensitivity,1,stress,2,negative,-9.61889329391223e-05,-6.279874932543593e-05,-2.9408565711749547e-05,2,-0.000980285523724985,-0.000971087426558104,-0.0009618893293912229
S12,source,regular-sensitivity,5,confirmatory,3,negative,-0.0008323391450162784,-0.00024995617019329817,-8.333365373333192e-05,3,-0.8333365373333191,-0.8331872339776606,-0.8323391450162783
S12,source,regular-sensitivity,5,extended-local,2,negative,-0.008215547714545282,-0.005352658057677195,-0.002489768400809108,2,-0.8299228002697027,-0.8257387858621155,-0.8215547714545282
S12,source,regular-sensitivity,5,stress,2,negative,-0.0724954862823284,-0.0482234741243676,-0.023951461966406806,2,-0.7983820655468936,-0.7616684641850888,-0.7249548628232839
S12,source,regular-sensitivity,20,confirmatory,3,negative,-0.0017551397199038166,-0.0005335076523597145,-0.00017850495945308755,3,-1.785049594530875,-1.7783588411990485,-1.7551397199038163
S12,source,regular-sensitivity,20,extended-local,2,negative,-0.014799619196858559,-0.009935251550860807,-0.005070883904863056,2,-1.6902946349543522,-1.5851282773201039,-1.4799619196858558
S12,source,regular-sensitivity,20,stress,2,negative,-0.030064989397473544,-0.0267790254654576,-0.023493061533441658,2,-1.0021663132491183,-0.6185484642917674,-0.23493061533441656
S12,source,regular-sensitivity,50,confirmatory,3,negative,-1.5587534084349377,-0.47493798648510255,-0.15902703188036962,3,-1590.2703188036958,-1583.1266216170086,-1558.7534084349375
S12,source,regular-sensitivity,50,extended-local,2,negative,-13.116918214609237,-8.799532644966455,-4.482147075323672,2,-1494.0490251078909,-1402.8704232844073,-1311.6918214609236
S12,source,regular-sensitivity,50,stress,2,negative,-57.272951291512854,-43.56090174498685,-29.848852198460854,2,-994.9617399486953,-783.8456264319118,-572.7295129151285
S13,source,analytic-zero,1,confirmatory,3,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,1,extended-local,2,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,1,stress,2,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,5,confirmatory,3,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,5,extended-local,2,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,5,stress,2,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,20,confirmatory,3,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,20,extended-local,2,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,20,stress,2,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,50,confirmatory,3,numerical-zero,0.0,0.0,0.0,0,,,
S13,source,analytic-zero,50,extended-local,2,numerical-zero,0.0,0.0,0.0,0,,,
